proc_var,limit,type,dead_band,delay_time
1,0.0364957056997425,LOW,NaN,NaN
2,3639.95608758739,LOW,NaN,NaN
3,4421.1451921065,LOW,NaN,NaN
4,9.05442767224939,LOW,NaN,NaN
5,27.601608796563,LOW,NaN,NaN
6,44.3540205383128,LOW,NaN,NaN
7,2799.94941040773,LOW,NaN,NaN
8,64.4946864911427,LOW,NaN,NaN
9,122.888495290816,LOW,NaN,NaN
10,0.205611418059235,LOW,NaN,NaN
11,88.4925642952807,LOW,NaN,NaN
12,48.8136011051543,LOW,NaN,NaN
13,2704.5075976858,LOW,NaN,NaN
14,25.1232834699089,LOW,NaN,NaN
15,36.3646277074556,LOW,NaN,NaN
16,3331.31769896822,LOW,NaN,NaN
17,22.6395964051877,LOW,NaN,NaN
18,62.9475183098061,LOW,NaN,NaN
20,243.48716540598,HIGH,NaN,NaN
21,102.44762776923,LOW,NaN,NaN
22,85.3539160377989,LOW,NaN,NaN
