,xmeas01_low,xmeas02_low,xmeas03_low,xmeas06_low,xmeas07_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas06_high,xmeas07_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,0.0,0.0,0.1318413797596103,0.1206940355046757,0.0,0.007658635831662047,0.15087362304371613,0.0,0.0,0.0,0.0016699047639496005,0.32639872068882797,0.0,0.15772068748428433,0.09528385870669695
xmeas02_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas06_low,0.06896878169424323,0.0,0.0,0.0,0.07616837152490538,0.0,0.007899164329664057,0.13614671605154052,0.18048817180581164,0.0,0.0,0.0,0.1447550699056499,0.0,0.18168674970730664,0.038520334875217103
xmeas07_low,0.16902022337279493,0.0,0.0,0.04687673048252275,0.0,0.0,0.011401038391568152,0.28832084360071264,0.1581685907923235,0.0,0.0,0.0009936544629211505,0.0,0.0,0.06633706006792131,0.16809261605758855
xmeas08_low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_low,0.021804245190961736,0.0,0.0,0.017783755686263534,0.02010473647730347,0.0,0.0,0.00941441164087323,0.03503513206613075,0.0,0.0,1.8956572694591812e-05,0.01954221055130786,0.0,0.0,0.039910308474299834
xmeas21_low,0.06253006400915975,0.0,0.0,0.021311696366970896,0.1943469212005095,0.0,0.003566922875325598,0.0,0.16199879012694823,0.0,0.0,0.0012338134541366626,0.11599203208126276,0.0,0.029222123548489635,0.0
xmeas01_high,0.0,0.0,0.0,0.018702579109116324,0.06739535509401637,0.0,0.005635065103174734,0.0879650514474585,0.0,0.0,0.0,0.001488447845549351,0.06111056946823199,0.0,0.02510306670453802,0.03518437150682219
xmeas02_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas03_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas06_high,0.00028708389218923546,0.0,0.0,0.0,0.0009473861572025991,0.0,0.0005798218339713731,0.0013270267343851586,0.0008281912432428863,0.0,0.0,0.0,0.0006282009610038661,0.0,8.245464044065833e-05,0.0019781971363945685
xmeas07_high,0.02738838108077586,0.0,0.0,0.019731447209301402,0.0,0.0,0.009903756402592171,0.11047418113169732,0.0821475014793571,0.0,0.0,0.001257671853805136,0.0,0.0,0.028365135070553455,0.0819698249782721
xmeas08_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xmeas09_high,0.019291838053195128,0.0,0.0,0.0056586660079094905,0.07088105531515736,0.0,0.0,0.07793226085712704,0.10607217265376556,0.0,0.0,0.0023175516167204544,0.15629326232499757,0.0,0.0,0.022171985964819757
xmeas21_high,0.07843257189578931,0.0,0.0,0.1028498545243236,0.07897553027203723,0.0,0.005197934970788763,0.0,0.44139920246217557,0.0,0.0,0.001298093463066011,0.19613917841748688,0.0,0.1345170443252456,0.0
