,x1_high,x2_high,x3_high,x6_high,x7_high,x8_high,x9_high,x21_high,x1_low,x2_low,x3_low,x6_low,x7_low,x8_low,x9_low,x21_low
x1_high,0.0,1.0,1.0,1.0,46.0,4.0,20.0,49.0,0.0,1.0,1.0,10.0,49.0,1.0,15.0,49.0
x2_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
x3_high,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
x6_high,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
x7_high,49.0,1.0,1.0,1.0,0.0,4.0,17.0,42.0,49.0,1.0,1.0,11.0,0.0,1.0,15.0,32.0
x8_high,49.0,1.0,1.0,1.0,34.0,0.0,13.0,45.0,13.0,1.0,1.0,20.0,49.0,0.0,24.0,23.0
x9_high,49.0,1.0,1.0,1.0,42.0,7.0,0.0,48.0,49.0,1.0,1.0,10.0,49.0,1.0,0.0,8.0
x21_high,49.0,1.0,1.0,1.0,49.0,49.0,49.0,0.0,49.0,1.0,1.0,31.0,29.0,1.0,49.0,0.0
x1_low,0.0,1.0,1.0,1.0,49.0,49.0,49.0,49.0,0.0,1.0,1.0,32.0,49.0,1.0,36.0,5.0
x2_low,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
x3_low,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
x6_low,49.0,1.0,1.0,0.0,49.0,48.0,40.0,45.0,49.0,1.0,1.0,0.0,49.0,1.0,49.0,29.0
x7_low,49.0,1.0,1.0,1.0,0.0,49.0,49.0,31.0,49.0,1.0,1.0,31.0,0.0,1.0,49.0,49.0
x8_low,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
x9_low,49.0,1.0,1.0,1.0,26.0,49.0,0.0,44.0,49.0,1.0,1.0,47.0,35.0,1.0,0.0,49.0
x21_low,49.0,1.0,1.0,1.0,43.0,4.0,11.0,0.0,49.0,1.0,1.0,40.0,36.0,1.0,30.0,0.0
