,xmeas01_low,xmeas02_low,xmeas03_low,xmeas06_low,xmeas07_low,xmeas08_low,xmeas09_low,xmeas21_low,xmeas01_high,xmeas02_high,xmeas03_high,xmeas06_high,xmeas07_high,xmeas08_high,xmeas09_high,xmeas21_high
xmeas01_low,0.0,1.0,1.0,23.0,49.0,1.0,4.0,42.0,0.0,1.0,1.0,35.0,49.0,1.0,47.0,5.0
xmeas02_low,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
xmeas03_low,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
xmeas06_low,16.0,1.0,1.0,0.0,21.0,1.0,49.0,26.0,22.0,1.0,1.0,0.0,25.0,1.0,16.0,18.0
xmeas07_low,43.0,1.0,1.0,20.0,0.0,1.0,17.0,42.0,44.0,1.0,1.0,34.0,0.0,1.0,20.0,45.0
xmeas08_low,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
xmeas09_low,31.0,1.0,1.0,33.0,32.0,1.0,0.0,31.0,49.0,1.0,1.0,49.0,49.0,1.0,0.0,30.0
xmeas21_low,41.0,1.0,1.0,33.0,27.0,1.0,16.0,0.0,31.0,1.0,1.0,26.0,17.0,1.0,11.0,0.0
xmeas01_high,0.0,1.0,1.0,29.0,49.0,1.0,48.0,34.0,0.0,1.0,1.0,29.0,42.0,1.0,15.0,2.0
xmeas02_high,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
xmeas03_high,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
xmeas06_high,49.0,1.0,1.0,0.0,39.0,1.0,17.0,12.0,37.0,1.0,1.0,0.0,29.0,1.0,47.0,31.0
xmeas07_high,47.0,1.0,1.0,21.0,0.0,1.0,21.0,39.0,16.0,1.0,1.0,26.0,0.0,1.0,11.0,45.0
xmeas08_high,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
xmeas09_high,49.0,1.0,1.0,11.0,46.0,1.0,0.0,16.0,46.0,1.0,1.0,25.0,37.0,1.0,0.0,32.0
xmeas21_high,43.0,1.0,1.0,21.0,15.0,1.0,17.0,0.0,46.0,1.0,1.0,33.0,47.0,1.0,42.0,0.0
