TOUT,XMEAS01,XMEAS02,XMEAS03,XMEAS04,XMEAS05,XMEAS06,XMEAS07,XMEAS08,XMEAS09,XMEAS10,XMEAS11,XMEAS12,XMEAS13,XMEAS14,XMEAS15,XMEAS16,XMEAS17,XMEAS18,XMEAS19,XMEAS20,XMEAS21,XMEAS22,XMEAS23,XMEAS24,XMEAS25,XMEAS26,XMEAS27,XMEAS28,XMEAS29,XMEAS30,XMEAS31,XMEAS32,XMEAS33,XMEAS34,XMEAS35,XMEAS36,XMEAS37,XMEAS38,XMEAS39,XMEAS40,XMEAS41,XMEAS42,XMEAS43,XMEAS44,XMEAS45,XMEAS46,XMEAS47,XMEAS48,XMEAS49,XMEAS50,XMEAS51,XMEAS52,XMEAS53,XMEAS54,XMEAS55,XMEAS56,XMEAS57,XMEAS58,XMEAS59,XMEAS60,XMEAS61,XMEAS62,XMEAS63,XMEAS64,XMEAS65,XMEAS66,XMEAS67,XMEAS68,XMEAS69,XMEAS70,XMEAS71,XMEAS72,XMEAS73
1546856018.18268,0.271032873666978,3649.73941468537,4451.32079091473,9.22314238021727,32.3928997631425,47.5597536278132,2798.975799023,64.9958245229824,122.898796438325,0.197826456448772,91.9932672585036,49.9708602767822,2703.52107131477,25.2575586301178,49.6818673177002,3330.81032592391,22.8862073396095,66.6283028440441,0,272.782177204123,102.480028232595,92.2625307053972,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,45,45,45,45,35,81.6390419638676,40,33.2770802044179,99.9899983406067,0.00999999974737875,0,0,0,0,0,0.00999999974737875,0,99.9899983406067,0,0,0,0,0,0,99.9899983406067,0.00999999974737875,48.5,0.5,51,0,0,0
1546856054.18268,0.000965165913105011,3623.42880649103,4462.36021912152,9.26092966030266,32.4271301600017,47.4495243685304,2797.82644220108,64.7820586580242,122.910451324532,0.197001260068082,91.9541798162664,50.1318608591501,2702.35242701431,25.2538224960769,49.0046386590922,3329.06546504565,22.7946640150098,66.6274576211238,-0.447119788825512,273.301146731121,102.46357722378,92.2440824573082,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,44.9823571762443,45.0140359243751,44.9794349941611,44.9928451570868,35.0134595283866,81.4150978728592,39.9932100757957,31.7570808696811,99.9899983406067,0.00999999974737875,0,0,0,0,0,0.00999999974737875,0,99.9899983406067,0,0,0,0,0,0,99.9899983406067,0.00999999974737875,48.5,0.5,51,0,0,0
1546856090.18268,-0.000553465068340301,3649.85603291621,4459.99232768504,9.24619777779999,32.7022791437939,47.5422851649219,2796.42018659323,65.6406519621054,122.875695708088,0.197816924943253,91.9581518924209,50.3711267562562,2701.35921194162,25.148417514145,50.6489117475096,3327.43401672994,22.9903026673901,66.6316494685845,0.35176136046648,273.00694975251,102.496571182381,92.3782173698521,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,45.0088596329093,44.9666870626807,45.0003637203574,44.9982428774238,34.9985801491141,81.3497050950009,40.0047882160544,36.4141718683831,99.9899983406067,0.00999999974737875,0,0,0,0,0,0.00999999974737875,0,99.9899983406067,0,0,0,0,0,0,99.9899983406067,0.00999999974737875,48.5,0.5,51,0,0,0
1546856126.18268,0.00117923222780228,3640.28922720101,4468.93694033739,9.10184423445571,32.4137086209798,47.4486273693429,2795.32854541268,64.5472010405501,122.868379171639,0.199820804744222,91.9619036984464,48.8800427075398,2699.47643470995,25.3285586557733,52.126079071486,3326.46986709686,22.862990870042,66.6206131948126,-1.42292688339949,273.213387372842,102.545780585872,92.2370493863953,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,44.9946909889579,45.0043552717567,44.9958209308982,44.9976756128669,34.9921593078971,81.1842611680609,39.9918604168296,35.0966914626676,99.9899983406067,0.00999999974737875,0,0,0,0,0,0.00999999974737875,0,99.9899983406067,0,0,0,0,0,0,99.9899983406067,0.00999999974737875,48.5,0.5,51,0,0,0
1546856162.18268,-8.91977190971374e-05,3654.61522772425,4444.0535487462,9.09793727377323,32.263359856116,47.3236901323824,2794.38542485724,65.1626170360585,122.863083843081,0.191942551506233,91.9308885213353,50.444961757255,2698.45701601771,25.3931707552259,50.788539384286,3325.00750843625,22.904386994682,66.6311763617494,0.557580538094044,272.709526369026,102.552682212446,92.120475562955,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,45.0023845943809,45.0082227358222,44.9938627418876,45.0034000715613,35.0027075275779,81.0668699539611,39.9986357483268,35.6323979871855,99.9899983406067,0.00999999974737875,0,0,0,0,0,0.00999999974737875,0,99.9899983406067,0,0,0,0,0,0,99.9899983406067,0.00999999974737875,48.5,0.5,51,0,0,0
1546856198.18268,-0.000795395457744598,3629.78676918044,4418.02595884461,9.267799838244,32.3436139240316,47.288506029941,2793.30771754241,64.9295990588401,122.872285639941,0.188826699356688,91.913585854577,49.1357669083119,2697.88310718067,25.2637060212687,49.994961065422,3323.09789799245,22.8506761545101,66.6180242740757,-1.27638681381941,272.555772019314,102.579897178689,92.1901745267793,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,45.0079086098075,44.9879610762,45.0185258564353,45.0075655969977,35.0066952881217,81.0342042770082,40.0055712017417,29.1457152272806,99.9899983406067,0.00999999974737875,0,0,0,0,0,0.00999999974737875,0,99.9899983406067,0,0,0,0,0,0,99.9899983406067,0.00999999974737875,48.5,0.5,51,0,0,0
1546856234.18268,-0.000488978755474091,3634.66709792541,4488.1298407142,9.24809967225855,32.6997661080038,47.0527197937646,2792.94496057707,65.6097115766231,122.88913177034,0.188544634068797,91.9342079108366,51.0020799314676,2697.43437736809,25.0012398385,49.6689284151247,3323.58286230977,22.8460753573696,66.6105484003303,0.0939486220479012,272.810739315865,102.571434178775,92.3569852718701,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,45.0108688816428,44.9834517130256,44.9996889480948,44.980316670835,35.0040983089805,80.9792190146387,40.0019387611747,33.7495808588942,99.9899983406067,0.00999999974737875,0,0,0,0,0,0.00999999974737875,0,99.9899983406067,0,0,0,0,0,0,99.9899983406067,0.00999999974737875,48.5,0.5,51,0,0,0
1546856270.18268,-0.000614543330669403,3660.56439683143,4441.57375019695,9.13967296347884,32.4626308692497,47.1933232235093,2793.09576342103,64.9051669526642,122.867254801565,0.182726565585782,91.9736283566848,49.786482196851,2696.56772018383,25.2136229690326,51.0741917858615,3322.24922942257,23.022187385533,66.6211788491217,1.67980486899614,272.715112519029,102.589557556917,92.2865240649083,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,44.9934333500266,45.00165705055,44.9875390610099,45.0058779653907,34.9944996914268,81.0131901945094,39.9946570381522,33.4294574267155,99.9899983406067,0.00999999974737875,0,0,0,0,0,0.00999999974737875,0,99.9899983406067,0,0,0,0,0,0,99.9899983406067,0.00999999974737875,48.5,0.5,51,0,0,0
1546856306.18268,0.00153805600404739,3629.1175368295,4442.96904985643,9.20804438808594,32.2160976124497,47.3140658321031,2791.66988586695,65.8147148559028,122.85626664761,0.183736957098635,91.9918721427012,47.7766585556152,2696.48284695366,25.2910518317307,49.301114374563,3322.7342400255,22.8459634786441,66.6131225984654,0.446920938789844,272.324868380383,102.599028103281,92.279595685061,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,45.0063417705894,45.0042837938666,45.0063147911429,44.9851239714026,34.9826778873801,80.8278151238153,40.0138978561759,32.5275496163166,99.9899983406067,0.00999999974737875,0,0,0,0,0,0.00999999974737875,0,99.9899983406067,0,0,0,0,0,0,99.9899983406067,0.00999999974737875,48.5,0.5,51,0,0,0
1546856342.18268,0.00255143033266067,3664.52399710986,4429.0237058799,9.16821363915227,32.368469175035,47.5237116420807,2791.24557809952,64.7425765550179,122.877188205542,0.177054102994186,92.0150590400573,48.8724374012663,2695.93018720479,25.3366574131436,49.0840495839867,3321.26587048366,22.9923181818102,66.6181616494702,1.28091923743486,272.012564480374,102.597739133057,92.3002737451837,32.1496517328533,14.8784917049868,18.8516948805069,5.99875776257265,16.6686702756563,4.05437841297992,32.6296761633793,21.7035622719829,13.2975011616905,0.895835584752025,16.1374011792979,5.39613141410102,6.67536112633277,3.26453109846362,0.0107148709581566,0.574717471829245,0.186135857878831,53.7630976903944,43.9857233442386,45.0003297695518,44.9918063387275,44.9795496162772,45.0110925611854,34.9907454761863,80.751965830872,39.9811341461539,33.7205496970495,99.9899983406067,0.00999999974737875,0,0,0,0,0,0.00999999974737875,0,99.9899983406067,0,0,0,0,0,0,99.9899983406067,0.00999999974737875,48.5,0.5,51,0,0,0
